trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
EarlyB:%27+,public,Roederer,Immune system,NA,264,1,NA,NA,Female twins,1625172,25772697,European,1,497,5.866339362,%,Females,Immune cell subset frequency,2015,,,
MDC:%64-274-,public,Roederer,Immune system,NA,265,1,NA,NA,Female twins,1623131,25772697,European,1,497,11.21670771,%,Females,Immune cell subset frequency,2015,,,
MDC:%32+,public,Roederer,Immune system,NA,266,1,NA,NA,Female twins,1623131,25772697,European,1,497,33.58928882,%,Females,Immune cell subset frequency,2015,,,
MDCL%274+,public,Roederer,Immune system,NA,267,1,NA,NA,Female twins,1623131,25772697,European,1,497,13.43647186,%,Females,Immune cell subset frequency,2015,,,
1c+mDC:%32+,public,Roederer,Immune system,NA,268,1,NA,NA,Female twins,1623131,25772697,European,1,497,18.89060944,%,Females,Immune cell subset frequency,2015,,,
Mono:%11c-16-274+,public,Roederer,Immune system,NA,269,1,NA,NA,Female twins,1624848,25772697,European,1,497,0.766743627,%,Females,Immune cell subset frequency,2015,,,
G speed factor,public,Luciano,Risk factor,NA,1061,1,NA,NA,Information processing speed from factor analysis,2402695,21130836,European,1,2430,1,SD,Males and females,Psychiatric / neurological,2012,mental process,EFO:0004323,low
Gallbladder cancer,public,Cha,Disease,NA,1057,1,41,866,Japanese subjects,425707,22318345,East Asian,1,907,NA,log odds,Males and females,Cancer,2012,,,
Glioma,public,Rajaraman P,Disease,GliomaScan,1013,1,1856,4955,NA,309636,22886559,European,1,6811,NA,log odds,Males and females,Cancer,2012,glioma,EFO:0005543,high
Gout,public,KÇôttgen,Disease,GUGC,1054,1,2115,67259,Effect allele frequencies are missing,2450548,23263486,European,1,69374,NA,log odds,Males and females,Autoimmune / inflammatory,2012,gout,EFO:0004274,high
Haemoglobin concentration,public,van der Harst P,Risk factor,HaemGen,270,1,NA,NA,Effect allele frequencies are missing,2593079,23222517,Mixed,1,71861,1.276364658,g/dL,Males and females,Haemotological,2012,hemoglobin measurement,EFO:0004509,medium - not conentration
HbA1C,public,Soranzo N,Risk factor,MAGIC,758,1,NA,NA,Glycated hemoglobin,2576680,20858683,European,1,46368,0.534284777,%,Males and females,Glycemic,2012,A1C measurement,EFO:0004541,high
HDL cholesterol,public,Willer CJ,Risk factor,GLGC,299,1,NA,NA,NA,2447442,24097068,Mixed,1,187167,15.51018433,SD (mg/dL),Males and females,Lipid,2010,high density lipoprotein cholesterol measurement,EFO:0004612,high
Autoimmune thyroid disease,immunobase_users,Cooper,Disease,NA,277,0,2747,9364,Immuno-chip; only P-values are available,110640,22922229,European,1,12111,NA,log odds,Males and females,Autoimmune / inflammatory,2012,,,
HDL cholesterol,public,Willer CJ,Risk factor,GLGC,780,1,NA,NA,Metabo-chip,120672,24097068,Mixed,2,92860,15.51018433,SD (mg/dL),Males and females,Lipid,2011,,,
Heart rate,public,den Hoed M,Risk factor,HRgene consortium,1056,1,NA,NA,92% European,2516790,23583979,Mixed,1,92355,NA,beats per minute,Males and females,Hemodynamic,2013,heart rate,EFO:0004326,high
Height,public,Wood AR,Risk factor,GIANT,89,1,NA,NA,NA,2550859,25282103,European,1,253288,0.0699,SD (m),Males and females,Anthropometric,2013,body height,EFO:0004339,high
Height,public,Randall JC,Risk factor,GIANT,96,1,NA,NA,NA,2762798,23754948,European,2,60586,0.0729,SD (m),Males,Anthropometric,2012,,,
Height,public,Randall JC,Risk factor,GIANT,97,1,NA,NA,NA,2748546,23754948,European,3,73137,0.0665,SD (m),Females,Anthropometric,2012,,,
Height,public,Cousminer,Risk factor,EGG,1032,1,NA,NA,Age 10; effect allele frequencies are missing,2393631,23449627,European,1,6974,NA,SD,Females,Anthropometric,2012,,,
Height,public,Cousminer,Risk factor,EGG,1033,1,NA,NA,Age 12; effect allele frequencies are missing,2500338,23449627,European,1,6986,NA,SD,Males,Anthropometric,2015,,,
Height,public,Cousminer,Risk factor,EGG,1034,1,NA,NA,Females at age 10 and males at age 12; effect allele frequencies are missing,2479700,23449627,European,1,13960,NA,SD,Males and females,Anthropometric,2015,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,48,1,NA,NA,NA,2561447,25673412,Mixed,1,224459,8.4548,SD (cm),Males and females,Anthropometric,2011,hip circumference,EFO:0005093,high
Hip circumference,public,Shungin D,Risk factor,GIANT,49,1,NA,NA,NA,2559739,25673412,European,2,213038,8.4548,SD (cm),Males and females,Anthropometric,2015,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,50,1,NA,NA,NA,2467376,25673412,Mixed,3,125113,8.4548,SD (cm),Females,Anthropometric,2015,,,
Type 1 diabetes,immunobase_users,Barrett JC,Disease,NA,289,0,7514,9045,Only P-values are available,786612,19430480,European,3,16559,NA,log odds,Males and females,Autoimmune / inflammatory,2009,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,51,1,NA,NA,NA,2444355,25673412,European,4,127997,8.4548,SD (cm),Females,Anthropometric,NA,,,
Type 1 diabetes,immunobase_users,Bradfield JP,Disease,NA,291,0,9934,16956,Only P-values are available,2048238,21980299,European,2,26890,NA,log odds,Males and females,Autoimmune / inflammatory,2011,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,52,1,NA,NA,NA,2215107,25673412,Mixed,5,100384,8.4548,SD (cm),Males,Anthropometric,2012,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,53,1,NA,NA,NA,2213803,25673412,European,6,94790,8.4548,SD (cm),Males,Anthropometric,2015,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,54,1,NA,NA,Adjusted for BMI; effect allele frequecies are missing,2542663,25673412,Mixed,9,225487,8.4548,SD (cm),Males and females,Anthropometric,2015,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,55,1,NA,NA,Adjusted for BMI; effect allele frequecies are missing,2540926,25673412,European,10,211114,8.4548,SD (cm),Males and females,Anthropometric,2015,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,56,1,NA,NA,Adjusted for BMI,2467409,25673412,Mixed,11,123904,8.4548,SD (cm),Females,Anthropometric,2015,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,57,1,NA,NA,Adjusted for BMI,2466815,25673412,European,12,117339,8.4548,SD (cm),Females,Anthropometric,2013,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,58,1,NA,NA,Adjusted for BMI,2189602,25673412,Mixed,13,99562,8.4548,SD (cm),Males,Anthropometric,2013,,,
Hip circumference,public,Shungin D,Risk factor,GIANT,59,1,NA,NA,Adjusted for BMI,2188856,25673412,European,14,93963,8.4548,SD (cm),Males,Anthropometric,2013,,,
Hip circumference,public,Randall JC,Risk factor,GIANT,98,1,NA,NA,NA,2725756,23754948,European,8,60586,8.4548,SD (cm),Males,Anthropometric,2013,,,
Hip circumference,public,Randall JC,Risk factor,GIANT,99,1,NA,NA,NA,2725756,23754948,European,7,73137,8.4548,SD (cm),Females,Anthropometric,2013,,,
Hip circumference,public,Randall JC,Risk factor,GIANT,100,1,NA,NA,Adjusted for BMI,2725796,23754948,European,15,60586,8.4548,SD (cm),Males,Anthropometric,2013,,,
Glutamine,public,Shin,Metabolites,NA,303,1,NA,NA,NA,2545661,24816252,European,1,7821,0.056572351,log10 units,Males and females,Amino acid,2014,,,
Tryptophan,public,Shin,Metabolites,NA,304,1,NA,NA,NA,2545641,24816252,European,1,7804,0.067101494,log10 units,Males and females,Amino acid,2014,,,
Histidine,public,Shin,Metabolites,NA,305,1,NA,NA,NA,2545665,24816252,European,1,7804,0.05705308,log10 units,Males and females,Amino acid,2014,,,
Leucine,public,Shin,Metabolites,NA,306,1,NA,NA,NA,2545655,24816252,European,1,7799,0.069058287,log10 units,Males and females,Amino acid,2014,,,
Cholesterol,public,Shin,Metabolites,NA,307,1,NA,NA,NA,2545608,24816252,European,1,7813,0.09395791,log10 units,Males and females,Lipid,2014,,,
Phenylalanine,public,Shin,Metabolites,NA,308,1,NA,NA,NA,2545599,24816252,European,1,7803,0.056117786,log10 units,Males and females,Amino acid,2014,,,
Creatinine,public,Shin,Metabolites,NA,309,1,NA,NA,NA,2545671,24816252,European,1,7810,0.078003037,log10 units,Males and females,Amino acid,2014,,,
Lactate,public,Shin,Metabolites,NA,310,1,NA,NA,NA,2545582,24816252,European,1,7814,0.118465881,log10 units,Males and females,Carbohydrate,2014,,,
3-hydroxybutyrate (BHBA),public,Shin,Metabolites,NA,311,1,NA,NA,NA,2545615,24816252,European,1,7820,0.389157474,log10 units,Males and females,Lipid,2014,,,
Arabinose,public,Shin,Metabolites,NA,312,1,NA,NA,NA,2545100,24816252,European,1,5889,0.168878247,log10 units,Males and females,Carbohydrate,2014,,,
Fructose,public,Shin,Metabolites,NA,313,1,NA,NA,NA,2545462,24816252,European,1,7781,0.205773807,log10 units,Males and females,Carbohydrate,2014,,,
Mannose,public,Shin,Metabolites,NA,314,1,NA,NA,NA,2545645,24816252,European,1,7793,0.125488532,log10 units,Males and females,Carbohydrate,2014,,,
Pyruvate,public,Shin,Metabolites,NA,315,1,NA,NA,NA,2545596,24816252,European,1,7682,0.204841509,log10 units,Males and females,Carbohydrate,2014,,,
Uridine,public,Shin,Metabolites,NA,316,1,NA,NA,NA,2545676,24816252,European,1,7800,0.080584202,log10 units,Males and females,Nucleotide,2014,,,
Linoleate (18:2n6),public,Shin,Metabolites,NA,317,1,NA,NA,NA,2545642,24816252,European,1,7780,0.133458142,log10 units,Males and females,Fatty acid,2014,,,
Allantoin,public,Shin,Metabolites,NA,318,1,NA,NA,NA,2542981,24816252,European,1,5705,0.20821277,log10 units,Males and females,Nucleotide,2014,,,
Arachidonate (20:4n6),public,Shin,Metabolites,NA,319,1,NA,NA,NA,2545690,24816252,European,1,7816,0.119155972,log10 units,Males and females,Fatty acid,2014,,,
Deoxycholate,public,Shin,Metabolites,NA,320,1,NA,NA,NA,2546027,24816252,European,1,5194,0.314883667,log10 units,Males and females,Lipid,2014,,,
Margarate (17:0),public,Shin,Metabolites,NA,321,1,NA,NA,NA,2545661,24816252,European,1,7796,0.16621793,log10 units,Males and females,Fatty acid,2014,,,
Inosine,public,Shin,Metabolites,NA,322,1,NA,NA,NA,2545601,24816252,European,1,2675,0.381968471,log10 units,Males and females,Nucleotide,2014,,,
Isoleucine,public,Shin,Metabolites,NA,323,1,NA,NA,NA,2545655,24816252,European,1,7801,0.076829416,log10 units,Males and females,Amino acid,2014,,,
Threonine,public,Shin,Metabolites,NA,324,1,NA,NA,NA,2545896,24816252,European,1,6020,0.116675454,log10 units,Males and females,Amino acid,2014,,,
Tyrosine,public,Shin,Metabolites,NA,325,1,NA,NA,NA,2545613,24816252,European,1,7807,0.088617469,log10 units,Males and females,Amino acid,2014,,,
Lysine,public,Shin,Metabolites,NA,326,1,NA,NA,NA,2545686,24816252,European,1,7812,0.084879444,log10 units,Males and females,Amino acid,2014,,,
Methionine,public,Shin,Metabolites,NA,327,1,NA,NA,NA,2545691,24816252,European,1,7795,0.071195636,log10 units,Males and females,Amino acid,2014,,,
Malate,public,Shin,Metabolites,NA,328,1,NA,NA,NA,2545374,24816252,European,1,7384,0.142386455,log10 units,Males and females,Energy,2014,,,
Palmitate (16:0),public,Shin,Metabolites,NA,329,1,NA,NA,NA,2545680,24816252,European,1,7800,0.110022958,log10 units,Males and females,Fatty acid,2014,,,
Nonadecanoate (19:0),public,Shin,Metabolites,NA,330,1,NA,NA,NA,2545571,24816252,European,1,7783,0.143906656,log10 units,Males and females,Fatty acid,2014,,,
Stearate (18:0),public,Shin,Metabolites,NA,331,1,NA,NA,NA,2545698,24816252,European,1,7803,0.10720202,log10 units,Males and females,Fatty acid,2014,,,
Oleate (18:1n9),public,Shin,Metabolites,NA,332,1,NA,NA,NA,2545670,24816252,European,1,7768,0.133492983,log10 units,Males and females,Fatty acid,2014,,,
Pentadecanoate (15:0),public,Shin,Metabolites,NA,333,1,NA,NA,NA,2545826,24816252,European,1,7502,0.137187975,log10 units,Males and females,Fatty acid,2014,,,
Myristate (14:0),public,Shin,Metabolites,NA,334,1,NA,NA,NA,2545661,24816252,European,1,7811,0.140218024,log10 units,Males and females,Fatty acid,2014,,,
Pipecolate,public,Shin,Metabolites,NA,335,1,NA,NA,NA,2545476,24816252,European,1,7792,0.214133707,log10 units,Males and females,Amino acid,2014,,,
Ornithine,public,Shin,Metabolites,NA,336,1,NA,NA,NA,2545669,24816252,European,1,7746,0.131288386,log10 units,Males and females,Amino acid,2014,,,
5-oxoproline,public,Shin,Metabolites,NA,337,1,NA,NA,NA,2545584,24816252,European,1,7802,0.100777409,log10 units,Males and females,Amino acid,2014,,,
Pantothenate,public,Shin,Metabolites,NA,338,1,NA,NA,NA,2545928,24816252,European,1,7604,0.152918963,log10 units,Males and females,Cofactors and vitamins,2014,,,
4-acetamidobutanoate,public,Shin,Metabolites,NA,339,1,NA,NA,NA,2545566,24816252,European,1,6930,0.10381146,log10 units,Males and females,Amino acid,2014,,,
Alpha-tocopherol,public,Shin,Metabolites,NA,340,1,NA,NA,NA,2545636,24816252,European,1,7725,0.177730539,log10 units,Males and females,Cofactors and vitamins,2014,,,
Citrate,public,Shin,Metabolites,NA,341,1,NA,NA,NA,2545557,24816252,European,1,7813,0.110731725,log10 units,Males and females,Energy,2014,,,
Glycerate,public,Shin,Metabolites,NA,342,1,NA,NA,NA,2545821,24816252,European,1,7778,0.131902946,log10 units,Males and females,Carbohydrate,2014,,,
Guanosine,public,Shin,Metabolites,NA,343,1,NA,NA,NA,2545643,24816252,European,1,2343,0.237106718,log10 units,Males and females,Nucleotide,2014,,,
N-acetylalanine,public,Shin,Metabolites,NA,344,1,NA,NA,NA,2546012,24816252,European,1,7720,0.080013556,log10 units,Males and females,Amino acid,2014,,,
Urate,public,Shin,Metabolites,NA,345,1,NA,NA,NA,2545644,24816252,European,1,7819,0.086959786,log10 units,Males and females,Nucleotide,2014,,,
Ursodeoxycholate,public,Shin,Metabolites,NA,346,1,NA,NA,NA,2543395,24816252,European,1,5477,0.301369321,log10 units,Males and females,Lipid,2014,,,
Arginine,public,Shin,Metabolites,NA,347,1,NA,NA,NA,2545579,24816252,European,1,7528,0.148375451,log10 units,Males and females,Amino acid,2014,,,
Ascorbate (Vitamin C),public,Shin,Metabolites,NA,348,1,NA,NA,NA,2545101,24816252,European,1,2085,0.341135935,log10 units,Males and females,Cofactors and vitamins,2014,,,
Heptanoate (7:0),public,Shin,Metabolites,NA,349,1,NA,NA,NA,2545680,24816252,European,1,7802,0.12093427,log10 units,Males and females,Fatty acid,2014,,,
Laurate (12:0),public,Shin,Metabolites,NA,350,1,NA,NA,NA,2545672,24816252,European,1,7793,0.109650784,log10 units,Males and females,Fatty acid,2014,,,
Valine,public,Shin,Metabolites,NA,351,1,NA,NA,NA,2545654,24816252,European,1,7808,0.063261642,log10 units,Males and females,Amino acid,2014,,,
Urea,public,Shin,Metabolites,NA,352,1,NA,NA,NA,2545595,24816252,European,1,7796,0.134246217,log10 units,Males and females,Amino acid,2014,,,
Cortisol,public,Shin,Metabolites,NA,353,1,NA,NA,NA,2545612,24816252,European,1,7795,0.174540273,log10 units,Males and females,Lipid,2014,,,
Cortisone,public,Shin,Metabolites,NA,354,1,NA,NA,NA,2545383,24816252,European,1,7575,0.110202837,log10 units,Males and females,Lipid,2014,,,
Proline,public,Shin,Metabolites,NA,355,1,NA,NA,NA,2545669,24816252,European,1,7816,0.109557641,log10 units,Males and females,Amino acid,2014,,,
Citrulline,public,Shin,Metabolites,NA,356,1,NA,NA,NA,2545760,24816252,European,1,7773,0.107779196,log10 units,Males and females,Amino acid,2014,,,
Biliverdin,public,Shin,Metabolites,NA,357,1,NA,NA,NA,2544635,24816252,European,1,6686,0.197007031,log10 units,Males and females,Cofactors and vitamins,2014,,,
Serotonin (5HT),public,Shin,Metabolites,NA,358,1,NA,NA,NA,2545835,24816252,European,1,6139,0.180099126,log10 units,Males and females,Amino acid,2014,,,
Gamma-glutamylglutamine,public,Shin,Metabolites,NA,359,1,NA,NA,NA,2545682,24816252,European,1,7662,0.125581957,log10 units,Males and females,Peptide,2014,,,
Gamma-glutamyltyrosine,public,Shin,Metabolites,NA,360,1,NA,NA,NA,2545559,24816252,European,1,7468,0.111844015,log10 units,Males and females,Peptide,2014,,,
Hypoxanthine,public,Shin,Metabolites,NA,361,1,NA,NA,NA,2545756,24816252,European,1,7287,0.148725384,log10 units,Males and females,Nucleotide,2014,,,
Betaine,public,Shin,Metabolites,NA,362,1,NA,NA,NA,2545684,24816252,European,1,7806,0.120033574,log10 units,Males and females,Amino acid,2014,,,
Xanthine,public,Shin,Metabolites,NA,363,1,NA,NA,NA,2545938,24816252,European,1,6845,0.162362501,log10 units,Males and females,Nucleotide,2014,,,
Phosphate,public,Shin,Metabolites,NA,364,1,NA,NA,NA,2545586,24816252,European,1,7789,0.061965103,log10 units,Males and females,Energy,2014,,,
3-methoxytyrosine,public,Shin,Metabolites,NA,365,1,NA,NA,NA,2544787,24816252,European,1,5997,0.133616145,log10 units,Males and females,Amino acid,2014,,,
Pelargonate (9:0),public,Shin,Metabolites,NA,366,1,NA,NA,NA,2545686,24816252,European,1,7803,0.117236072,log10 units,Males and females,Fatty acid,2014,,,
Undecanoate (11:0),public,Shin,Metabolites,NA,367,1,NA,NA,NA,2545844,24816252,European,1,7500,0.083294503,log10 units,Males and females,Fatty acid,2014,,,
Beta-hydroxyisovalerate,public,Shin,Metabolites,NA,368,1,NA,NA,NA,2545179,24816252,European,1,7283,0.146397919,log10 units,Males and females,Amino acid,2014,,,
Taurodeoxycholate,public,Shin,Metabolites,NA,369,1,NA,NA,NA,2545263,24816252,European,1,1564,0.273683201,log10 units,Males and females,Lipid,2014,,,
X-02973,public,Shin,Metabolites,NA,370,1,NA,NA,NA,2545738,24816252,European,1,7759,0.089544813,log10 units,Males and females,Unknown metabolite,2014,,,
X-03003,public,Shin,Metabolites,NA,371,1,NA,NA,NA,2545669,24816252,European,1,7689,0.134073135,log10 units,Males and females,Unknown metabolite,2014,,,
X-03088,public,Shin,Metabolites,NA,372,1,NA,NA,NA,2545577,24816252,European,1,7474,0.157475291,log10 units,Males and females,Unknown metabolite,2014,,,
X-03094,public,Shin,Metabolites,NA,373,1,NA,NA,NA,2545572,24816252,European,1,7804,0.11971564,log10 units,Males and females,Unknown metabolite,2014,,,
Glycerol,public,Shin,Metabolites,NA,374,1,NA,NA,NA,2545492,24816252,European,1,7800,0.134547462,log10 units,Males and females,Lipid,2014,,,
Kynurenine,public,Shin,Metabolites,NA,375,1,NA,NA,NA,2545666,24816252,European,1,7816,0.111013672,log10 units,Males and females,Amino acid,2014,,,
Mannitol,public,Shin,Metabolites,NA,376,1,NA,NA,NA,2545531,24816252,European,1,5917,0.460311889,log10 units,Males and females,Carbohydrate,2014,,,
Glycerol 3-phosphate (G3P),public,Shin,Metabolites,NA,377,1,NA,NA,NA,2545634,24816252,European,1,7781,0.134565839,log10 units,Males and females,Lipid,2014,,,
Acetylphosphate,public,Shin,Metabolites,NA,378,1,NA,NA,NA,2545589,24816252,European,1,7789,0.091348944,log10 units,Males and females,Energy,2014,,,
Carnitine,public,Shin,Metabolites,NA,379,1,NA,NA,NA,2545563,24816252,European,1,7797,0.06531508,log10 units,Males and females,Lipid,2014,,,
Choline,public,Shin,Metabolites,NA,380,1,NA,NA,NA,2545597,24816252,European,1,7750,0.079551356,log10 units,Males and females,Lipid,2014,,,
N-acetylornithine,public,Shin,Metabolites,NA,381,1,NA,NA,NA,2545364,24816252,European,1,7574,0.221699151,log10 units,Males and females,Amino acid,2014,,,
N1-methyladenosine,public,Shin,Metabolites,NA,382,1,NA,NA,NA,2545622,24816252,European,1,7813,0.060287497,log10 units,Males and females,Nucleotide,2014,,,
3-methyl-2-oxovalerate,public,Shin,Metabolites,NA,383,1,NA,NA,NA,2545685,24816252,European,1,7779,0.114775383,log10 units,Males and females,Amino acid,2014,,,
3-methylhistidine,public,Shin,Metabolites,NA,384,1,NA,NA,NA,2543426,24816252,European,1,5885,0.405272919,log10 units,Males and females,Amino acid,2014,,,
3-phenylpropionate (hydrocinnamate),public,Shin,Metabolites,NA,385,1,NA,NA,NA,2544465,24816252,European,1,6182,0.220586821,log10 units,Males and females,Amino acid,2014,,,
Phenylacetate,public,Shin,Metabolites,NA,386,1,NA,NA,NA,2544277,24816252,European,1,4754,0.162780386,log10 units,Males and females,Amino acid,2014,,,
Glycerophosphorylcholine (GPC),public,Shin,Metabolites,NA,387,1,NA,NA,NA,2545468,24816252,European,1,7156,0.160818025,log10 units,Males and females,Lipid,2014,,,
Aspartate,public,Shin,Metabolites,NA,388,1,NA,NA,NA,2545425,24816252,European,1,7721,0.198565893,log10 units,Males and females,Amino acid,2014,,,
X-04357,public,Shin,Metabolites,NA,389,1,NA,NA,NA,2545854,24816252,European,1,7502,0.247110786,log10 units,Males and females,Unknown metabolite,2014,,,
X-04494,public,Shin,Metabolites,NA,390,1,NA,NA,NA,2544637,24816252,European,1,5007,0.138311011,log10 units,Males and females,Unknown metabolite,2014,,,
X-04495,public,Shin,Metabolites,NA,391,1,NA,NA,NA,2545543,24816252,European,1,7490,0.18351488,log10 units,Males and females,Unknown metabolite,2014,,,
X-04498,public,Shin,Metabolites,NA,392,1,NA,NA,NA,2545878,24816252,European,1,7160,0.150405399,log10 units,Males and females,Unknown metabolite,2014,,,
"X-04499--3,4-dihydroxybutyrate",public,Shin,Metabolites,NA,393,1,NA,NA,NA,2545613,24816252,European,1,6948,0.137585165,log10 units,Males and females,Amino acid,2014,,,
X-04500,public,Shin,Metabolites,NA,394,1,NA,NA,NA,2544484,24816252,European,1,3647,0.420830097,log10 units,Males and females,Unknown metabolite,2014,,,
Dihomo-linoleate (20:2n6),public,Shin,Metabolites,NA,395,1,NA,NA,NA,2545669,24816252,European,1,7800,0.190098108,log10 units,Males and females,Fatty acid,2014,,,
X-18601,public,Shin,Metabolites,NA,396,1,NA,NA,NA,2545942,24816252,European,1,7663,0.310129967,log10 units,Males and females,Unknown metabolite,2014,,,
2-hydroxystearate,public,Shin,Metabolites,NA,397,1,NA,NA,NA,2545671,24816252,European,1,7763,0.122293043,log10 units,Males and females,Lipid,2014,,,
X-05426,public,Shin,Metabolites,NA,398,1,NA,NA,NA,2545107,24816252,European,1,6357,0.299829441,log10 units,Males and females,Unknown metabolite,2014,,,
Indolelactate,public,Shin,Metabolites,NA,399,1,NA,NA,NA,2546166,24816252,European,1,7378,0.149332525,log10 units,Males and females,Amino acid,2014,,,
Glycylvaline,public,Shin,Metabolites,NA,400,1,NA,NA,NA,2545247,24816252,European,1,2108,0.270466583,log10 units,Males and females,Peptide,2014,,,
Gamma-glutamylleucine,public,Shin,Metabolites,NA,401,1,NA,NA,NA,2545647,24816252,European,1,7802,0.116837942,log10 units,Males and females,Peptide,2014,,,
Eicosapentaenoate (EPA; 20:5n3),public,Shin,Metabolites,NA,402,1,NA,NA,NA,2545634,24816252,European,1,7816,0.190245953,log10 units,Males and females,Fatty acid,2014,,,
Estrone 3-sulfate,public,Shin,Metabolites,NA,403,1,NA,NA,NA,2542633,24816252,European,1,957,0.24935854,log10 units,Males and females,Lipid,2014,,,
Glycocholate,public,Shin,Metabolites,NA,404,1,NA,NA,NA,2545954,24816252,European,1,5995,0.28899723,log10 units,Males and females,Lipid,2014,,,
Glycodeoxycholate,public,Shin,Metabolites,NA,405,1,NA,NA,NA,2544647,24816252,European,1,1477,0.353742125,log10 units,Males and females,Lipid,2014,,,
Taurochenodeoxycholate,public,Shin,Metabolites,NA,406,1,NA,NA,NA,2546774,24816252,European,1,5716,0.298460091,log10 units,Males and females,Lipid,2014,,,
Taurocholate,public,Shin,Metabolites,NA,407,1,NA,NA,NA,2545866,24816252,European,1,4032,0.345603145,log10 units,Males and females,Lipid,2014,,,
X-05907,public,Shin,Metabolites,NA,408,1,NA,NA,NA,2545753,24816252,European,1,7734,0.129963254,log10 units,Males and females,Unknown metabolite,2014,,,
Docosahexaenoate (DHA; 22:6n3),public,Shin,Metabolites,NA,409,1,NA,NA,NA,2545635,24816252,European,1,7818,0.187339594,log10 units,Males and females,Fatty acid,2014,,,
1-stearoylglycerophosphoinositol,public,Shin,Metabolites,NA,410,1,NA,NA,NA,2545589,24816252,European,1,7694,0.185323859,log10 units,Males and females,Lipid,2014,,,
X-06226,public,Shin,Metabolites,NA,411,1,NA,NA,NA,2545759,24816252,European,1,7623,0.119005452,log10 units,Males and females,Unknown metabolite,2014,,,
X-06246,public,Shin,Metabolites,NA,412,1,NA,NA,NA,2545551,24816252,European,1,7358,0.148151426,log10 units,Males and females,Unknown metabolite,2014,,,
X-06267,public,Shin,Metabolites,NA,413,1,NA,NA,NA,2545696,24816252,European,1,7075,0.158414556,log10 units,Males and females,Unknown metabolite,2014,,,
X-06307,public,Shin,Metabolites,NA,414,1,NA,NA,NA,2545549,24816252,European,1,6774,0.17832859,log10 units,Males and females,Unknown metabolite,2014,,,
X-06350,public,Shin,Metabolites,NA,415,1,NA,NA,NA,2545553,24816252,European,1,5161,0.144889087,log10 units,Males and females,Unknown metabolite,2014,,,
X-06351,public,Shin,Metabolites,NA,416,1,NA,NA,NA,2544606,24816252,European,1,4791,0.160188509,log10 units,Males and females,Unknown metabolite,2014,,,
Myo-inositol,public,Shin,Metabolites,NA,417,1,NA,NA,NA,2545559,24816252,European,1,7803,0.112847672,log10 units,Males and females,Lipid,2014,,,
Glucose,public,Shin,Metabolites,NA,418,1,NA,NA,NA,2545599,24816252,European,1,7773,0.090810406,log10 units,Males and females,Carbohydrate,2014,,,
"1,5-anhydroglucitol (1,5-AG)",public,Shin,Metabolites,NA,419,1,NA,NA,NA,2545780,24816252,European,1,7746,0.152704464,log10 units,Males and females,Carbohydrate,2014,,,
2-hydroxybutyrate (AHB),public,Shin,Metabolites,NA,420,1,NA,NA,NA,2545615,24816252,European,1,7815,0.168363902,log10 units,Males and females,Amino acid,2014,,,
3-methyl-2-oxobutyrate,public,Shin,Metabolites,NA,421,1,NA,NA,NA,2545692,24816252,European,1,7648,0.114790708,log10 units,Males and females,Amino acid,2014,,,
"1,6-anhydroglucose",public,Shin,Metabolites,NA,422,1,NA,NA,NA,2541750,24816252,European,1,3663,0.28850041,log10 units,Males and females,Carbohydrate,2014,,,
1-palmitoylglycerol (1-monopalmitin),public,Shin,Metabolites,NA,423,1,NA,NA,NA,2544839,24816252,European,1,7429,0.16550374,log10 units,Males and females,Lipid,2014,,,
1-oleoylglycerol (1-monoolein),public,Shin,Metabolites,NA,424,1,NA,NA,NA,2545533,24816252,European,1,5717,0.258196141,log10 units,Males and females,Lipid,2014,,,
1-stearoylglycerol (1-monostearin),public,Shin,Metabolites,NA,425,1,NA,NA,NA,2544531,24816252,European,1,6965,0.152137728,log10 units,Males and females,Lipid,2014,,,
X-08402,public,Shin,Metabolites,NA,426,1,NA,NA,NA,2545599,24816252,European,1,7726,0.149581468,log10 units,Males and females,Unknown metabolite,2014,,,
2-hydroxyisobutyrate,public,Shin,Metabolites,NA,427,1,NA,NA,NA,2545252,24816252,European,1,6539,0.140564265,log10 units,Males and females,Amino acid,2014,,,
X-08766,public,Shin,Metabolites,NA,428,1,NA,NA,NA,2544547,24816252,European,1,6050,0.160779071,log10 units,Males and females,Unknown metabolite,2014,,,
4-methyl-2-oxopentanoate,public,Shin,Metabolites,NA,429,1,NA,NA,NA,2545690,24816252,European,1,7776,0.125626226,log10 units,Males and females,Amino acid,2014,,,
Phenyllactate (PLA),public,Shin,Metabolites,NA,430,1,NA,NA,NA,2544881,24816252,European,1,6064,0.130057981,log10 units,Males and females,Amino acid,2014,,,
